CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	56252	31180	64.34	87432
2	22030	9008	70.98	31038
3	3469	1878	64.88	5347
4	6134	5098	54.61	11232
5	6615	4012	62.25	10627
6	6198	3832	61.79	10030
7	7800	4485	63.49	12285
8	6646	4551	59.36	11197
9	5248	3500	59.99	8748
10	5381	3878	58.12	9259
11	8465	4768	63.97	13233
12	4470	3642	55.10	8112
13	6825	4117	62.37	10942
14	4815	3698	56.56	8513
15	4924	3774	56.61	8698
16	5460	3903	58.31	9363
17	5676	4067	58.26	9743
18	10076	5280	65.62	15356
19	4381	3499	55.60	7880
20	4537	3700	55.08	8237
21	4564	3883	54.03	8447
22	4715	3601	56.70	8316
23	4484	3636	55.22	8120
24	4597	3599	56.09	8196
25	5394	3775	58.83	9169
26	7012	4170	62.71	11182
27	5110	3591	58.73	8701
28	4831	3650	56.96	8481
29	4956	3840	56.34	8796
30	5123	3557	59.02	8680
31	5283	3991	56.97	9274
32	7137	4072	63.67	11209
33	6860	4265	61.66	11125
34	6619	3911	62.86	10530
35	5098	3596	58.64	8694
36	6484	3655	63.95	10139
37	5313	3550	59.95	8863
38	6138	4096	59.98	10234
39	4690	3491	57.33	8181
40	5045	3431	59.52	8476
41	4887	3451	58.61	8338
42	4747	3131	60.26	7878
43	4903	3416	58.94	8319
44	4685	3199	59.42	7884
45	5570	3254	63.12	8824
46	5239	3303	61.33	8542
47	4352	3082	58.54	7434
48	4237	2757	60.58	6994
49	4182	2915	58.93	7097
50	5281	3393	60.88	8674
51	4914	3097	61.34	8011
52	5561	2993	65.01	8554
53	5150	3067	62.67	8217
54	4195	2882	59.28	7077
55	5379	3053	63.79	8432
56	3972	2520	61.18	6492
57	5291	2823	65.21	8114
58	4427	2613	62.88	7040
59	4321	2861	60.16	7182
60	4598	2574	64.11	7172
61	4519	2418	65.14	6937
62	4944	3045	61.89	7989
63	5720	2813	67.03	8533
64	4093	2443	62.62	6536
65	5442	2665	67.13	8107
66	3459	2005	63.31	5464
67	3281	2088	61.11	5369
68	3131	1884	62.43	5015
69	3215	1956	62.17	5171
70	3142	1925	62.01	5067
71	3130	2096	59.89	5226
72	2983	1649	64.40	4632
73	3426	1967	63.53	5393
74	3234	1732	65.12	4966
75	3110	1694	64.74	4804
76	3730	1812	67.30	5542
77	2984	1568	65.55	4552
78	3020	1694	64.06	4714
79	2593	1454	64.07	4047
80	2708	1517	64.09	4225
81	2815	1468	65.72	4283
82	3605	1552	69.90	5157
83	3171	1634	65.99	4805
84	2604	1379	65.38	3983
85	2910	1490	66.14	4400
86	2802	1512	64.95	4314
87	2662	1559	63.07	4221
88	2398	1568	60.46	3966
89	2537	2126	54.41	4663
90	2478	1964	55.79	4442
91	2689	2364	53.22	5053
92	2426	3219	42.98	5645
93	2432	2887	45.72	5319

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	437	31645	1.36	32082
2	562	106767	0.52	107329
3	271	32994	0.81	33265
4	664	33605	1.94	34269
5	558	25053	2.18	25611
6	535	31245	1.68	31780
7	521	32253	1.59	32774
8	623	31831	1.92	32454
9	536	28994	1.82	29530
10	479	29724	1.59	30203
11	543	31355	1.70	31898
12	524	28869	1.78	29393
13	528	35252	1.48	35780
14	547	28479	1.88	29026
15	546	28802	1.86	29348
16	574	32431	1.74	33005
17	648	34619	1.84	35267
18	529	28880	1.80	29409
19	617	36547	1.66	37164
20	494	36646	1.33	37140
21	424	34027	1.23	34451
22	1531	34260	4.28	35791
23	550	27831	1.94	28381
24	551	35201	1.54	35752
25	908	35627	2.49	36535
26	656	34373	1.87	35029
27	553	29387	1.85	29940
28	551	28903	1.87	29454
29	535	32776	1.61	33311
30	555	34400	1.59	34955
31	444	27985	1.56	28429
32	533	32785	1.60	33318
33	562	29972	1.84	30534
34	562	28693	1.92	29255
35	653	33477	1.91	34130
36	537	29504	1.79	30041
37	541	30598	1.74	31139
38	550	30179	1.79	30729
39	452	30796	1.45	31248
40	411	40151	1.01	40562
41	395	31467	1.24	31862
42	549	34905	1.55	35454
43	460	28552	1.59	29012
44	542	35707	1.50	36249
45	601	35489	1.67	36090
46	878	32490	2.63	33368
47	453	26854	1.66	27307
48	503	26477	1.86	26980
49	1130	31471	3.47	32601
50	429	30982	1.37	31411
51	439	28580	1.51	29019
52	404	26353	1.51	26757
53	400	26264	1.50	26664
54	473	24750	1.88	25223
55	415	25091	1.63	25506
56	464	25828	1.76	26292
57	385	23557	1.61	23942
58	418	24752	1.66	25170
59	440	23573	1.83	24013
60	434	24262	1.76	24696
61	289	21887	1.30	22176
62	322	24239	1.31	24561
63	357	23136	1.52	23493
64	402	23379	1.69	23781
65	332	24892	1.32	25224
66	379	21765	1.71	22144
67	424	22081	1.88	22505
68	362	26314	1.36	26676
69	761	24596	3.00	25357
70	362	22191	1.61	22553
71	295	19311	1.50	19606
72	306	18403	1.64	18709
73	305	19091	1.57	19396
74	345	21405	1.59	21750
75	297	18331	1.59	18628
76	292	17719	1.62	18011
77	310	17347	1.76	17657
78	257	16092	1.57	16349
79	229	16222	1.39	16451
80	310	16561	1.84	16871
81	326	17566	1.82	17892
82	314	18813	1.64	19127
83	321	17169	1.84	17490
84	258	16587	1.53	16845
85	289	15622	1.82	15911
86	309	15995	1.90	16304
87	259	16118	1.58	16377
88	250	18340	1.34	18590
89	243	18054	1.33	18297
90	251	15809	1.56	16060
91	240	16304	1.45	16544
92	224	16332	1.35	16556
93	222	14552	1.50	14774

CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	957	411709	0.23	412666
2	1227	303876	0.40	305103
3	273	68432	0.40	68705
4	610	90637	0.67	91247
5	564	79523	0.70	80087
6	615	82320	0.74	82935
7	700	82531	0.84	83231
8	533	79881	0.66	80414
9	513	76929	0.66	77442
10	573	80248	0.71	80821
11	552	88631	0.62	89183
12	563	81373	0.69	81936
13	561	83518	0.67	84079
14	592	85122	0.69	85714
15	655	88530	0.73	89185
16	673	107020	0.62	107693
17	678	85214	0.79	85892
18	750	95477	0.78	96227
19	499	89930	0.55	90429
20	580	87897	0.66	88477
21	492	84411	0.58	84903
22	598	84671	0.70	85269
23	587	91450	0.64	92037
24	634	85549	0.74	86183
25	666	86910	0.76	87576
26	746	87832	0.84	88578
27	525	81770	0.64	82295
28	568	96715	0.58	97283
29	505	91568	0.55	92073
30	482	78038	0.61	78520
31	456	84447	0.54	84903
32	553	90947	0.60	91500
33	698	90610	0.76	91308
34	715	80498	0.88	81213
35	784	94790	0.82	95574
36	670	82758	0.80	83428
37	641	81120	0.78	81761
38	745	86552	0.85	87297
39	539	84303	0.64	84842
40	489	84449	0.58	84938
41	596	85071	0.70	85667
42	472	77911	0.60	78383
43	513	81740	0.62	82253
44	519	71466	0.72	71985
45	491	75962	0.64	76453
46	555	78927	0.70	79482
47	457	70985	0.64	71442
48	444	71703	0.62	72147
49	493	77406	0.63	77899
50	437	73334	0.59	73771
51	433	69324	0.62	69757
52	412	71091	0.58	71503
53	499	68482	0.72	68981
54	424	63001	0.67	63425
55	485	66457	0.72	66942
56	454	64353	0.70	64807
57	559	65834	0.84	66393
58	451	62957	0.71	63408
59	433	69539	0.62	69972
60	490	74065	0.66	74555
61	376	66794	0.56	67170
62	474	73385	0.64	73859
63	376	66607	0.56	66983
64	378	62772	0.60	63150
65	481	60415	0.79	60896
66	409	59599	0.68	60008
67	376	60390	0.62	60766
68	377	63563	0.59	63940
69	373	52881	0.70	53254
70	280	54517	0.51	54797
71	401	55931	0.71	56332
72	340	58993	0.57	59333
73	357	57394	0.62	57751
74	303	50760	0.59	51063
75	313	46644	0.67	46957
76	350	47000	0.74	47350
77	349	47710	0.73	48059
78	318	46018	0.69	46336
79	316	45027	0.70	45343
80	429	51102	0.83	51531
81	297	46177	0.64	46474
82	388	46421	0.83	46809
83	361	44781	0.80	45142
84	298	41453	0.71	41751
85	331	43746	0.75	44077
86	311	41561	0.74	41872
87	278	43979	0.63	44257
88	265	40999	0.64	41264
89	250	39684	0.63	39934
90	227	38027	0.59	38254
91	215	37002	0.58	37217
92	246	36477	0.67	36723
93	252	36138	0.69	36390

CpG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	8395	2936	74.09	11331
2	1407	682	67.35	2089
3	2385	1568	60.33	3953
4	2530	1337	65.43	3867
5	2097	1064	66.34	3161
6	2678	1166	69.67	3844
7	2420	1337	64.41	3757
8	2464	1075	69.62	3539
9	2032	1183	63.20	3215
10	3712	1540	70.68	5252
11	1420	831	63.08	2251
12	1916	963	66.55	2879
13	1516	849	64.10	2365
14	1562	789	66.44	2351
15	1663	836	66.55	2499
16	1691	796	67.99	2487
17	3303	1182	73.65	4485
18	1336	646	67.41	1982
19	1262	674	65.19	1936
20	1292	689	65.22	1981
21	1277	734	63.50	2011
22	1298	615	67.85	1913
23	1227	631	66.04	1858
24	1609	783	67.27	2392
25	2139	898	70.43	3037
26	1188	550	68.35	1738
27	1176	684	63.23	1860
28	1143	585	66.15	1728
29	1204	512	70.16	1716
30	1449	661	68.67	2110
31	1546	622	71.31	2168
32	2086	830	71.54	2916
33	1320	552	70.51	1872
34	961	482	66.60	1443
35	1351	589	69.64	1940
36	859	469	64.68	1328
37	1258	558	69.27	1816
38	882	447	66.37	1329
39	947	400	70.30	1347
40	779	455	63.13	1234
41	831	371	69.13	1202
42	818	361	69.38	1179
43	771	369	67.63	1140
44	713	366	66.08	1079
45	746	353	67.88	1099
46	662	308	68.25	970
47	597	339	63.78	936
48	619	312	66.49	931
49	724	322	69.22	1046
50	631	297	68.00	928
51	857	350	71.00	1207
52	1172	432	73.07	1604
53	662	319	67.48	981
54	915	423	68.39	1338
55	567	271	67.66	838
56	1134	377	75.05	1511
57	544	249	68.60	793
58	500	264	65.45	764
59	528	220	70.59	748
60	466	237	66.29	703
61	519	275	65.37	794
62	970	332	74.50	1302
63	513	229	69.14	742
64	1204	417	74.28	1621
65	374	173	68.37	547
66	346	199	63.49	545
67	333	192	63.43	525
68	313	174	64.27	487
69	335	180	65.05	515
70	385	196	66.27	581
71	245	146	62.66	391
72	277	116	70.48	393
73	249	127	66.22	376
74	248	125	66.49	373
75	368	152	70.77	520
76	216	91	70.36	307
77	208	87	70.51	295
78	168	88	65.62	256
79	195	106	64.78	301
80	166	68	70.94	234
81	119	66	64.32	185
82	137	123	52.69	260
83	119	71	62.63	190
84	124	56	68.89	180
85	117	39	75.00	156
86	97	36	72.93	133
87	106	36	74.65	142
88	67	37	64.42	104
89	76	27	73.79	103
90	59	38	60.82	97
91	59	36	62.11	95

CHG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	147	43906	0.33	44053
2	920	41168	2.19	42088
3	162	12814	1.25	12976
4	196	14361	1.35	14557
5	206	10675	1.89	10881
6	164	11589	1.40	11753
7	252	13264	1.86	13516
8	278	13281	2.05	13559
9	184	10910	1.66	11094
10	214	10527	1.99	10741
11	164	11216	1.44	11380
12	157	9865	1.57	10022
13	260	12632	2.02	12892
14	150	9562	1.54	9712
15	164	9441	1.71	9605
16	170	10106	1.65	10276
17	263	11538	2.23	11801
18	149	8870	1.65	9019
19	211	14204	1.46	14415
20	294	9960	2.87	10254
21	330	8712	3.65	9042
22	131	10791	1.20	10922
23	139	7446	1.83	7585
24	176	9309	1.86	9485
25	197	10466	1.85	10663
26	166	8626	1.89	8792
27	140	7036	1.95	7176
28	127	7442	1.68	7569
29	111	7513	1.46	7624
30	145	7545	1.89	7690
31	110	6172	1.75	6282
32	105	6955	1.49	7060
33	118	5990	1.93	6108
34	106	5817	1.79	5923
35	132	6310	2.05	6442
36	122	5907	2.02	6029
37	142	6079	2.28	6221
38	123	5931	2.03	6054
39	92	6026	1.50	6118
40	116	8422	1.36	8538
41	79	5944	1.31	6023
42	103	6439	1.57	6542
43	83	4941	1.65	5024
44	95	5705	1.64	5800
45	101	5393	1.84	5494
46	108	5890	1.80	5998
47	60	4037	1.46	4097
48	86	4076	2.07	4162
49	74	5974	1.22	6048
50	89	4939	1.77	5028
51	73	4710	1.53	4783
52	68	4116	1.63	4184
53	55	3789	1.43	3844
54	60	3288	1.79	3348
55	56	3360	1.64	3416
56	53	4126	1.27	4179
57	59	3411	1.70	3470
58	56	3772	1.46	3828
59	60	3154	1.87	3214
60	60	2906	2.02	2966
61	49	2605	1.85	2654
62	45	2618	1.69	2663
63	33	2485	1.31	2518
64	53	2660	1.95	2713
65	78	2468	3.06	2546
66	70	2281	2.98	2351
67	23	2176	1.05	2199
68	46	2316	1.95	2362
69	42	2298	1.79	2340
70	33	2130	1.53	2163
71	33	1697	1.91	1730
72	27	1644	1.62	1671
73	36	1556	2.26	1592
74	35	1572	2.18	1607
75	22	1456	1.49	1478
76	13	1384	0.93	1397
77	17	1282	1.31	1299
78	18	1205	1.47	1223
79	25	1061	2.30	1086
80	17	996	1.68	1013
81	20	965	2.03	985
82	15	953	1.55	968
83	16	840	1.87	856
84	28	803	3.37	831
85	19	800	2.32	819
86	15	714	2.06	729
87	10	597	1.65	607
88	11	604	1.79	615
89	11	531	2.03	542
90	13	488	2.59	501
91	7	420	1.64	427

CHH context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	4	504	0.79	508
2	40	21028	0.19	21068
3	281	43766	0.64	44047
4	241	41553	0.58	41794
5	310	38350	0.80	38660
6	271	40663	0.66	40934
7	286	40694	0.70	40980
8	291	44718	0.65	45009
9	457	35321	1.28	35778
10	253	41157	0.61	41410
11	193	32754	0.59	32947
12	284	29547	0.95	29831
13	197	27390	0.71	27587
14	225	31367	0.71	31592
15	187	29529	0.63	29716
16	201	26122	0.76	26323
17	175	25702	0.68	25877
18	190	24673	0.76	24863
19	206	28147	0.73	28353
20	164	25497	0.64	25661
21	205	26977	0.75	27182
22	167	24301	0.68	24468
23	156	24573	0.63	24729
24	195	22052	0.88	22247
25	226	24526	0.91	24752
26	134	22955	0.58	23089
27	148	25108	0.59	25256
28	183	20983	0.86	21166
29	145	23260	0.62	23405
30	138	20397	0.67	20535
31	114	18884	0.60	18998
32	130	18822	0.69	18952
33	134	19305	0.69	19439
34	137	19502	0.70	19639
35	124	17474	0.70	17598
36	116	16540	0.70	16656
37	114	20487	0.55	20601
38	128	17044	0.75	17172
39	114	15954	0.71	16068
40	103	15434	0.66	15537
41	110	19079	0.57	19189
42	106	18160	0.58	18266
43	87	15267	0.57	15354
44	89	14042	0.63	14131
45	86	14719	0.58	14805
46	88	13502	0.65	13590
47	99	13427	0.73	13526
48	107	12160	0.87	12267
49	108	11851	0.90	11959
50	101	13697	0.73	13798
51	96	13158	0.72	13254
52	87	13299	0.65	13386
53	80	12483	0.64	12563
54	125	13138	0.94	13263
55	69	10401	0.66	10470
56	101	10127	0.99	10228
57	82	9280	0.88	9362
58	56	8937	0.62	8993
59	76	9009	0.84	9085
60	53	9020	0.58	9073
61	67	8648	0.77	8715
62	57	8454	0.67	8511
63	81	8092	0.99	8173
64	55	9291	0.59	9346
65	61	7044	0.86	7105
66	50	7395	0.67	7445
67	38	6456	0.59	6494
68	34	7213	0.47	7247
69	37	7862	0.47	7899
70	41	6144	0.66	6185
71	47	6333	0.74	6380
72	40	6136	0.65	6176
73	57	6631	0.85	6688
74	44	4890	0.89	4934
75	30	4382	0.68	4412
76	39	4278	0.90	4317
77	30	3831	0.78	3861
78	31	3665	0.84	3696
79	19	3596	0.53	3615
80	23	3227	0.71	3250
81	26	2998	0.86	3024
82	22	2881	0.76	2903
83	13	2614	0.49	2627
84	12	2406	0.50	2418
85	9	2269	0.40	2278
86	21	2057	1.01	2078
